"greenhouse","species","plant_no","plant","co2","resprouter","drought_phase","water_potential_mpa","osmotic_potential_mpa","transpiration_mean_g_day","plant_height","vol_swc_cm3_per_cm3","ysoil_kpa","water_potential_midday_kpa","whole_plant_leaf_area_mm2","whole_plant_leaf_area_cm2","leaves_biomass","SLA","percentage_biomass_change_1_2","percentage_biomass_change_2_3","whole_plant_conductance","whole_plant_conductivity","leaf_specific_conductance","leaf_specific_conductivity","leaf_specific_transpiration","root_shoot_ratio","stems_biomass","total_aboveground_biomass","total_belowground_biomass"
"D","SRO","2D","DROF2D","ambient","R-","2",-1.01,-1.410502,64.1666666666667,,0.134705341614213,-120.854165918253,-1010,162652.78942953,1626.5278942953,11.99375,,-21.4876033057851,,0.0721666392700742,3.82483188131393,4.43685223740602e-05,0.00235153168582519,0.0394500868332584,,,,
"D","SRO","2D","DROF2D","ambient","R-","3",-5.92,,20.8333333333333,,0.052,-2835.444896,-5920,219153.232073472,2191.53232073472,16.16,,,34.7368421052632,0.00675408045274244,0.35796626399535,3.08189862811519e-06,0.000163340627290105,0.00950628614336331,0.27689289,18.496,34.656,9.596
"D","SRO","2W","DROF2W","ambient","R-","1",-0.95,-1.0092385,105.714285714286,41,0.257936954632258,-14.028292670372,-950,382267.883372631,3822.67883372631,23.7413636363636,16.1013448607109,,,0.112946026986108,4.63078710643043,2.95463029720468e-05,0.00121139842185392,0.0276545036380251,,,,
"D","SRO","2W","DROF2W","ambient","R-","2",-1.18,-1.6512601,75.8333333333333,,0.144801361411919,-95.1066703188222,-1180,386291.755829185,3862.91755829185,23.9912727272727,,1.05263157894736,,0.0698993451785889,2.86587315232215,1.80949616769709e-05,0.000741893428755805,0.0196311032241822,,,,
"D","SRO","2W","DROF2W","ambient","R-","3",-6.5,,26.6666666666667,,0.044,-4933.176718,-6500,354100.776176753,3541.00776176753,21.992,,,-8.33333333333333,0.0170195751958878,0.697802583031399,4.80642131871303e-06,0.000197063274067234,0.00753081282526072,0.164382519,17.41,39.402,6.477
"D","SRO","3W","DROF3W","ambient","R-","1",-1.04,-0.9387134,105,36,0.230440299022624,-20.3840792900387,-1040,270178.096472813,2701.78096472813,21.1952876712329,12.7470832509393,,,0.102979953399402,3.70727832237847,3.8115581812075e-05,0.0013721609452347,0.0388632540427147,,,,
"D","SRO","3W","DROF3W","ambient","R-","2",-1.71,-1.750968,55.8333333333333,,0.116245383768386,-196.993455619168,-1710,301503.093165313,3015.03093165313,23.6527123287671,,11.5942028985507,,0.0369022417918106,1.32848070450518,1.22394239489866e-05,0.000440619262163517,0.0185183285342682,,,,
"D","SRO","3W","DROF3W","ambient","R-","3",-7.5,,15,,0.058,-1974.278868,-7500,285840.594819063,2858.40594819063,22.424,,,-5.1948051948052,0.00271457781557841,0.0977248013608226,9.49682398085106e-07,3.41885663310638e-05,0.00524768009578731,0.196158524,21.153,43.577,8.548
"D","SRO","4W","DROF4W","ambient","R-","1",-1.05,-0.9070987,108.571428571429,50,0.263490998029661,-13.0717498078648,-1050,358803.709703288,3588.03709703288,28.0890689655172,12.7737843551797,,,0.10470486125854,5.23524306292702,2.91816551576699e-05,0.00145908275788349,0.0302592826203529,,,,
"D","SRO","4W","DROF4W","ambient","R-","2",-0.97,-1.2840432,122.5,,0.157558794639831,-71.8869258559375,-970,465978.843770504,4659.78843770504,36.4793103448276,,29.8701298701299,,0.136397079083552,6.81985395417762,2.92710883566912e-05,0.00146355441783456,0.0262887471475704,,,,
"D","SRO","4W","DROF4W","ambient","R-","3",-3.02,-3.1687657,27.5,,0.073,-920.9944529,-3020,135133.864693446,1351.33864693446,10.579,,,-71,0.0131014422701237,0.655072113506183,9.69515842667902e-06,0.000484757921333951,0.0203501913176126,0.17998258,14.679,25.258,4.546
"E","ACY","1W","EACY1W","ambient","R+","1",-1.67,-1.4226615,199.375,68,0.247528742444661,-16.0806394403284,-1670,430857.338208946,4308.57338208946,18.7996875,22.9183244779439,,,0.120546989626225,8.19719529458332,2.79784000261742e-05,0.00190253120177985,0.0462740174807728,,,,
"E","ACY","1W","EACY1W","ambient","R+","2",-2.07,-1.8385164,240,,0.141596539054831,-102.431327156278,-2070,595366.503706907,5953.66503706907,25.97775,,38.1818181818182,,0.121977953457212,8.29450083509042,2.04878764085224e-05,0.00139317559577952,0.0403113037945026,,,,
"E","ACY","1W","EACY1W","ambient","R+","3",-3.24,-3.0739216,38.5714285714286,,0.051,-3023.967797,-3240,250680.63313975,2506.8063313975,10.938,,,-57.8947368421053,0.178544809689454,12.1410470588829,7.12240141781988e-05,0.00484323296411752,0.0153866806894195,0.368237282,42.332,53.27,19.616
"E","ACY","2W","EACY2W","ambient","R+","1",-1.34,-1.3472726,103.125,98,0.24819455717406,-15.9380790301046,-1340,2195941.88030804,21959.4188030804,100.8645,21.7712067209776,,,0.0778853302604302,7.63276236552216,3.54678468309483e-06,0.000347584898943293,0.00469616254076514,,,,
"E","ACY","2W","EACY2W","ambient","R+","2",-1.35,-1.3667278,172.727272727273,,0.138660658868975,-109.798710718044,-1350,1929767.10693737,19297.6710693737,88.6385,,-12.1212121212121,,0.139273579393936,13.6488107806058,7.21711852654437e-06,0.000707277615601348,0.00895067970152101,,,,
"E","ACY","2W","EACY2W","ambient","R+","3",-4.52,-4.6668161,27.1428571428571,,0.048,-3697.069322,-4520,133087.386685336,1330.87386685336,6.113,,,-93.1034482758621,0.032983163550086,3.23235002790843,2.4783087542375e-05,0.00242874257915275,0.02039476303418,0.419373104,43.337,49.45,20.738
"E","ACY","3W","EACY3W","ambient","R+","1",-1.34,-1.3521364,177.5,68,0.245493206330058,-16.5269010043158,-1340,762643.477770988,7626.43477770988,26.0747368421053,29.2483671988389,,,0.134116817436407,9.11994358567568,1.75857817375422e-05,0.00119583315815287,0.0232743090544467,,,,
