"plant","species","plant_no","greenhouse","co2","resprouter","drought_phase","water_potential_mpa","water_potential_midday_log","osmotic_potential_mpa","osmotic_potential_log","transpiration_mean_g_day","transpiration_mean_log","whole_plant_conductance","whole_plant_conductance_log","whole_plant_conductivity","whole_plant_conductivity_log","leaf_specific_transpiration","leaf_specific_transpiration_log","leaf_specific_conductance","leaf_specific_conductance_log","leaf_specific_conductivity","leaf_specific_conductivity_log","whole_plant_leaf_area_cm2","whole_plant_leaf_area_log","leaves_biomass","leaves_biomass_log"
"DDPE1W","DPE","1W","D","ambient","R+","2",-2,0.693147180559945,-1.7339447,0.550398986269641,144.444444444444,4.97289496611341,0.0741295209433867,-2.60194143271957,3.3358284424524,1.20472105705075,0.0612586144458212,-2.79265079543334,3.14381889867071e-05,-10.3674871942663,0.00141471850440182,-6.56082470449599,2357.94501314089,7.76554576154675,10.2546818181818,2.32773436404951
"DDPE1W","DPE","1W","D","ambient","R+","3",-2.5,0.916290731874155,-2.1279125,0.75514145221296,115.555555555556,4.7497514147992,0.0625451514666264,-2.77186655959598,2.81453181599819,1.03479593017434,0.0467793055768089,-3.06231436238244,2.53195853608135e-05,-10.5839323367776,0.00113938134123661,-6.7772698470073,2470.22810900474,7.81206577718164,10.743,2.37425437968441
"DDPE2W","DPE","2W","D","ambient","R+","1",-1.58,0.457424847038875,-1.5758712,0.45480826220762,70.8333333333333,4.26032969969636,0.0452441817664662,-3.09568119684989,1.58354636182632,0.459666864639526,0.0494371391583356,-3.00705333242734,3.15775469660304e-05,-10.3630642289736,0.00110521414381106,-6.80771616748418,1432.79596148294,7.2673830321237,9.08944554455446,2.20711391013041
"DDPE2W","DPE","2W","D","ambient","R+","2",-1.89,0.636576829071551,-1.6634196,0.508875483477896,125.555555555556,4.83274833437017,0.0698649348572148,-2.6611914028596,2.44527272000252,0.894156658629819,0.0838741917238675,-2.47843732041193,4.66714906804477e-05,-9.97237705764169,0.00163350217381567,-6.41702899615227,1496.95100453442,7.3111856547821,9.49643564356436,2.25091653278881
"DDPE2W","DPE","2W","D","ambient","R+","3",-7.19,1.97269117173296,,,26.6666666666667,3.28341434600577,0.0053631888552395,-5.22819654512449,0.187711609933382,-1.67284848363507,0.0246926561107679,-3.70124940300828,4.96617667723246e-06,-12.2128602941385,0.000173816183703136,-8.65751223264912,1079.94322469983,6.98466374901405,6.851,1.92439462702076
"DDPE3W","DPE","3W","D","ambient","R+","1",-1.91,0.647103242058538,-1.2816113,0.248118114396708,73.3333333333333,4.29501525768425,0.0386126744431967,-3.25417470295686,1.54450697772787,0.434704751157081,0.0621519139792181,-2.77817366537381,3.27252493704697e-05,-10.3273636260149,0.00130900997481879,-6.63848417190099,1179.90466645732,7.07318892305807,6.58091515151515,1.88417381644377
"DDPE3W","DPE","3W","D","ambient","R+","2",-2.04,0.712949807856125,-1.7071938,0.534850969881157,158.888888888889,5.06820514591773,0.0797004555296378,-2.5294799776485,3.18801822118551,1.15939947646543,0.0739179918973853,-2.60479901790806,3.70780969472162e-05,-10.2024841414743,0.00148312387788865,-6.51360468736036,2149.52929334799,7.67300416382579,11.9889939393939,2.48398905721149
"DDPE3W","DPE","3W","D","ambient","R+","3",-2.53,0.928219302739429,-2.0355003,0.710741636344821,125.555555555556,4.83274833437017,0.0601768632364585,-2.81046733216198,2.40707452945834,0.878412121951958,0.0651368038792301,-2.73126554574722,3.12190768569063e-05,-10.3744812122794,0.00124876307427625,-6.68560175816543,1927.56702936097,7.56401388011739,10.751,2.37499877350309
"DLST1W","LST","1W","D","ambient","R-","1",-1.53,0.425267735404344,-1.0967869,0.0923849053580237,73.0769230769231,4.29151262713305,0.0481603071756326,-3.03322009977034,1.05952675786392,0.0578223535879802,0.0837405218397538,-2.48003228674404,5.51880003295306e-05,-9.80476501364743,0.00121413600724967,-6.71372256028912,872.659036168456,6.77154491387709,3.89930666666667,1.36079875955348
"DLST1W","LST","1W","D","ambient","R-","2",-0.84,-0.174353387144778,-1.2840432,0.250013849561607,135.333333333333,4.90774087093362,0.173893226742415,-1.74931380753274,3.82565098833314,1.34172864582558,0.0886180399539289,-2.42341983087889,0.000113867563412638,-9.08047450934525,0.00250508639507803,-5.98943205598694,1527.1533132948,7.33116070181252,6.82378666666667,1.9204145474889
