species,drought_phase,phase_day,total_day,date
ROF,2_reduce,2,50,12/03/2020
ROF,2_reduce,3,51,13/03/2020
ROF,2_reduce,4,52,14/03/2020
ROF,2_reduce,5,53,15/03/2020
ROF,2_reduce,6,54,16/03/2020
ROF,2_reduce,7,55,17/03/2020
ROF,2_reduce,8,56,18/03/2020
ROF,2_reduce,9,57,19/03/2020
ROF,2_reduce,10,58,20/03/2020
ROF,2_reduce,11,59,21/03/2020
ROF,2_reduce,12,60,22/03/2020
ROF,2_reduce,13,61,23/03/2020
ROF,2_reduce,14,62,24/03/2020
ROF,2_reduce,15,63,25/03/2020
ROF,2_reduce,16,64,26/03/2020
ROF,2_reduce,17,65,27/03/2020
ROF,3,1,66,28/03/2020
ROF,3,2,67,29/03/2020
ROF,3,3,68,30/03/2020
ROF,3,4,69,31/03/2020
ROF,3,5,70,01/04/2020
ROF,3,6,71,02/04/2020
ROF,3,7,72,03/04/2020
ROF,3,8,73,04/04/2020
ROF,3,9,74,05/04/2020
ROF,3,10,75,06/04/2020
ROF,3,11,76,07/04/2020
ROF,3,12,77,08/04/2020
ROF,3,13,78,09/04/2020
ROF,3,14,79,10/04/2020
ROF,3,15,80,11/04/2020
ROF,3,16,81,12/04/2020
ROF,3,17,82,13/04/2020
ROF,3,18,83,14/04/2020
ROF,3,19,84,15/04/2020
ROF,3,20,85,16/04/2020
