greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,plant_height,large_leaves_count,small_leaves_count,total_leaves_count_marked,flowers_count
F,CAL,1D,FCAL1D,12/3/20,2,18,50,ambient,R-,,17,0,17,
F,ROF,1W,FROF1W,10/3/20,2,16,48,ambient,R-,,28,72,100,
F,ROF,2W,FROF2W,10/3/20,2,16,48,ambient,R-,,27,70,97,
F,ROF,3W,FROF3W,10/3/20,2,16,48,ambient,R-,,25,39,64,
F,ROF,4W,FROF4W,10/3/20,2,16,48,ambient,R-,,34,59,93,
F,ROF,5W,FROF5W,10/3/20,2,16,48,ambient,R-,,20,28,48,
F,LST,1D,FLST1D,13/03/2020,2,19,51,ambient,R-,,36,0,36,
F,LST,2DG,FLST2DG,13/03/2020,2,19,51,ambient,R-,,38,148,186,
F,LST,5D,FLST5D,13/03/2020,2,19,51,ambient,R-,,32,95,127,
F,LST,4D,FLST4D,13/03/2020,2,19,51,ambient,R-,,52,10,62,
F,DPE,1W,FDPE1W,11/3/20,2,13,49,ambient,R+,,60,0,60,
F,DPE,3W,FDPE3W,11/3/20,2,13,49,ambient,R+,,130,0,130,
F,DPE,1D,FDPE1D,11/3/20,2,13,49,ambient,R+,,130,0,130,
F,DPE,3D,FDPE3D,11/3/20,2,13,49,ambient,R+,,97,0,97,
A,ACY,1W,AACY1W,10/4/20,3,14,79,elevated,R+,,7,22,29,12
A,ACY,2W,AACY2W,10/4/20,3,14,79,elevated,R+,,0,0,0,0
A,ACY,3W,AACY3W,10/4/20,3,14,79,elevated,R+,,11,21,32,77
A,ACY,4W,AACY4W,10/4/20,3,14,79,elevated,R+,,0,0,0,0
A,ACY,2D,AACY2D,10/4/20,3,14,79,elevated,R+,,6,31,37,0
A,CAL,1W,ACAL1W,11/4/20,3,15,80,elevated,R-,,9,4,13,0
A,CAL,2W,ACAL2W,11/4/20,3,15,80,elevated,R-,,9,1,10,0
A,CAL,3W,ACAL3W,11/4/20,3,15,80,elevated,R-,,8,12,20,0
A,CAL,4W,ACAL4W,11/4/20,3,15,80,elevated,R-,,16,0,16,0
A,CAL,5W,ACAL5W,11/4/20,3,15,80,elevated,R-,,11,0,11,0
A,ROF,1W,AROF1W,16/04/2020,3,20,85,elevated,R-,,28,75,103,0
A,ROF,2W,AROF2W,16/04/2020,3,20,85,elevated,R-,,22,52,74,0
A,ROF,3W,AROF3W,16/04/2020,3,20,85,elevated,R-,,32,74,106,0
A,ROF,4W,AROF4W,16/04/2020,3,20,85,elevated,R-,,18,28,46,0
A,ROF,5W,AROF5W,16/04/2020,3,20,85,elevated,R-,,22,60,82,0
A,LST,2W,ALST2W,13/04/2020,3,17,82,elevated,R-,,14,23,37,0
A,LST,3W,ALST3W,13/04/2020,3,17,82,elevated,R-,,4,39,43,0
A,LST,1D,ALST1D,13/04/2020,3,17,82,elevated,R-,,10,47,57,0
A,LST,2D,ALST2D,13/04/2020,3,17,82,elevated,R-,,9,107,116,0
A,DPE,1W,ADPE1W,12/4/20,3,16,81,elevated,R+,,29,0,29,0
A,DPE,2W,ADPE2W,12/4/20,3,16,81,elevated,R+,,232,0,232,0
A,DPE,3W,ADPE3W,12/4/20,3,16,81,elevated,R+,,76,0,76,0
A,DPE,4W,ADPE4W,12/4/20,3,16,81,elevated,R+,,12,0,12,0
A,DPE,3D,ADPE3D,12/4/20,3,16,81,elevated,R+,,105,0,105,0
B,ACY,1W,BACY1W,10/4/20,3,14,79,elevated,R+,,6,9,15,0
B,ACY,2W,BACY2W,10/4/20,3,14,79,elevated,R+,,9,21,30,0
B,ACY,3W,BACY3W,10/4/20,3,14,79,elevated,R+,,0,0,0,9
B,ACY,5W,BACY5W,10/4/20,3,14,79,elevated,R+,,7,18,25,31
B,ACY,6W,BACY6W,10/4/20,3,14,79,elevated,R+,,6,0,6,3
B,CAL,1W,BCAL1W,11/4/20,3,15,80,elevated,R-,,4,14,18,
B,CAL,3W,BCAL3W,11/4/20,3,15,80,elevated,R-,,10,9,19,
B,CAL,4W,BCAL4W,11/4/20,3,15,80,elevated,R-,,14,24,38,
B,CAL,5W,BCAL5W,11/4/20,3,15,80,elevated,R-,,9,4,13,
B,CAL,6W,BCAL6W,11/4/20,3,15,80,elevated,R-,,10,20,30,
B,ROF,1W,BROF1W,16/04/2020,3,20,85,elevated,R-,,36,52,88,
