greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,plant_height,large_leaves_count,small_leaves_count,total_leaves_count_marked,flowers_count
A,ACY,3W,AACY3W,9/3/20,2,15,47,elevated,R+,,9,20,29,
A,ACY,4W,AACY4W,9/3/20,2,15,47,elevated,R+,,6,9,15,
A,ACY,2D,AACY2D,9/3/20,2,15,47,elevated,R+,,9,50,59,
A,CAL,1W,ACAL1W,12/3/20,2,18,50,elevated,R-,,14,7,21,
A,CAL,2W,ACAL2W,12/3/20,2,18,50,elevated,R-,,18,3,21,
A,CAL,3W,ACAL3W,12/3/20,2,18,50,elevated,R-,,18,16,34,
A,CAL,4W,ACAL4W,12/3/20,2,18,50,elevated,R-,,20,0,20,
A,CAL,5W,ACAL5W,12/3/20,2,18,50,elevated,R-,,18,0,18,
A,ROF,1W,AROF1W,10/3/20,2,16,48,elevated,R-,,30,60,90,
A,ROF,2W,AROF2W,10/3/20,2,16,48,elevated,R-,,21,34,55,
A,ROF,3W,AROF3W,10/3/20,2,16,48,elevated,R-,,30,46,76,
A,ROF,4W,AROF4W,10/3/20,2,16,48,elevated,R-,,19,23,42,
A,ROF,5W,AROF5W,10/3/20,2,16,48,elevated,R-,,24,49,73,
A,LST,2W,ALST2W,13/03/2020,2,19,51,elevated,R-,,29,29,58,
A,LST,3W,ALST3W,13/03/2020,2,19,51,elevated,R-,,18,22,40,
A,LST,1D,ALST1D,13/03/2020,2,19,51,elevated,R-,,24,28,52,
A,LST,2D,ALST2D,13/03/2020,2,19,51,elevated,R-,,45,38,83,
A,DPE,1W,ADPE1W,11/3/20,2,13,49,elevated,R+,,65,0,65,
A,DPE,2W,ADPE2W,11/3/20,2,13,49,elevated,R+,,175,0,175,
