greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,water_potential_bar,water_potential_mpa,osmotic_potential_mmol.kg-1,osmotic_potential_mpa,obs
E,LST,4W,ELST4W,11/02/2020,1,16,20,ambient,R-,17.1,-1.71,415,-1.0092385,
E,LST,1D,ELST1D,11/02/2020,1,16,20,ambient,R-,14,-1.4,494,-1.2013586,
E,DPE,1W,EDPE1W,10/02/2020,1,15,19,ambient,R+,19.5,-1.95,560,-1.361864,
E,DPE,2W,EDPE2W,10/02/2020,1,15,19,ambient,R+,14.7,-1.47,465,-1.1308335,
E,DPE,3W,EDPE3W,10/02/2020,1,15,19,ambient,R+,18.9,-1.89,488,-1.1867672,
E,DPE,4W,EDPE4W,10/02/2020,1,15,19,ambient,R+,17.8,-1.78,627,-1.5248013,
E,DPE,5W,EDPE5W,10/02/2020,1,15,19,ambient,R+,19.9,-1.99,551,-1.3399769,
F,ACY,1W,FACY1W,14/02/2020,1,19,23,ambient,R+,16.5,-1.65,423,-1.0286937,
F,ACY,2W,FACY2W,14/02/2020,1,19,23,ambient,R+,19.9,-1.99,397,-0.9654643,
F,ACY,3W,FACY3W,14/02/2020,1,19,23,ambient,R+,15,-1.5,383,-0.9314177,
F,ACY,4W,FACY4W,14/02/2020,1,19,23,ambient,R+,18.9,-1.89,445,-1.0821955,
F,ACY,2D,FACY2D,14/02/2020,1,19,23,ambient,R+,15.4,-1.54,482,-1.1721758,
F,CAL,1W,FCAL1W,13/02/2020,1,18,22,ambient,R-,10.1,-1.01,472,-1.1478568,
F,CAL,2W,FCAL2W,13/02/2020,1,18,22,ambient,R-,14.5,-1.45,482,-1.1721758,
F,CAL,3W,FCAL3W,13/02/2020,1,18,22,ambient,R-,14.6,-1.46,524,-1.2743156,
F,CAL,4W,FCAL4W,13/02/2020,1,18,22,ambient,R-,13.4,-1.34,421,-1.0238299,
F,CAL,1D,FCAL1D,13/02/2020,1,18,22,ambient,R-,12.8,-1.28,544,-1.3229536,(e)
F,ROF,1W,FROF1W,12/02/2020,1,17,21,ambient,R-,12.3,-1.23,383,-0.9314177,
F,ROF,2W,FROF2W,12/02/2020,1,17,21,ambient,R-,8,-0.8,381,-0.9265539,
F,ROF,3W,FROF3W,12/02/2020,1,17,21,ambient,R-,7.5,-0.75,418,-1.0165342,
F,ROF,4W,FROF4W,12/02/2020,1,17,21,ambient,R-,11.9,-1.19,359,-0.8730521,
F,ROF,5W,FROF5W,12/02/2020,1,17,21,ambient,R-,12.5,-1.25,450,-1.094355,
F,LST,1D,FLST1D,11/02/2020,1,16,20,ambient,R-,18.8,-1.88,391,-0.9508729,
F,LST,2DG,FLST2DG,11/02/2020,1,16,20,ambient,R-,18.4,-1.84,418,-1.0165342,
F,LST,5D,FLST5D,11/02/2020,1,16,20,ambient,R-,16.6,-1.66,553,-1.3448407,(d)
F,LST,4D,FLST4D,11/02/2020,1,16,20,ambient,R-,16.5,-1.65,504,-1.2256776,(e)
F,DPE,1W,FDPE1W,10/02/2020,1,15,19,ambient,R+,17,-1.7,601,-1.4615719,
F,DPE,3W,FDPE3W,10/02/2020,1,15,19,ambient,R+,15.1,-1.51,555,-1.3497045,
F,DPE,1D,FDPE1D,10/02/2020,1,15,19,ambient,R+,17.6,-1.76,550,-1.337545,(e)
F,DPE,3D,FDPE3D,10/02/2020,1,15,19,ambient,R+,17.5,-1.75,640,-1.556416,(e)
A,ACY,1W,AACY1W,09/03/2020,2,15,47,elevated,R+,19.9,-1.99,655,-1.5928945,
A,ACY,2W,AACY2W,09/03/2020,2,15,47,elevated,R+,22,-2.2,794,-1.9309286,
A,ACY,3W,AACY3W,09/03/2020,2,15,47,elevated,R+,20.8,-2.08,582,-1.4153658,
A,ACY,4W,AACY4W,09/03/2020,2,15,47,elevated,R+,24.1,-2.41,749,-1.8214931,
A,ACY,2D,AACY2D,09/03/2020,2,15,47,elevated,R+,19.4,-1.94,518,-1.2597242,
A,CAL,1W,ACAL1W,12/03/2020,2,18,50,elevated,R-,16.2,-1.62,612,-1.4883228,
A,CAL,2W,ACAL2W,12/03/2020,2,18,50,elevated,R-,20,-2,616,-1.4980504,
A,CAL,3W,ACAL3W,12/03/2020,2,18,50,elevated,R-,15.5,-1.55,569,-1.3837511,
A,CAL,4W,ACAL4W,12/03/2020,2,18,50,elevated,R-,16.8,-1.68,598,-1.4542762,
A,CAL,5W,ACAL5W,12/03/2020,2,18,50,elevated,R-,14.4,-1.44,603,-1.4664357,
A,ROF,1W,AROF1W,10/03/2020,2,16,48,elevated,R-,15.2,-1.52,614,-1.4931866,
A,ROF,2W,AROF2W,10/03/2020,2,16,48,elevated,R-,10.3,-1.03,570,-1.386183,
A,ROF,3W,AROF3W,10/03/2020,2,16,48,elevated,R-,14.9,-1.49,586,-1.4250934,
A,ROF,4W,AROF4W,10/03/2020,2,16,48,elevated,R-,13.8,-1.38,559,-1.3594321,
A,ROF,5W,AROF5W,10/03/2020,2,16,48,elevated,R-,16,-1.6,624,-1.5175056,
A,LST,2W,ALST2W,13/03/2020,2,19,51,elevated,R-,20.9,-2.09,616,-1.4980504,
