"greenhouse","species","plant_no","date","drought_phase","phase_day","total_day","start_pot_weight_kg","water.added.l","result_pot_weight_kg","water_lost_kg","days_since_water","water_lost_per_day_kg","start_swc_estimate","result_swc_estimate","plant","resprouter","co2","swc_diff","start_swc_standardized","result_swc_standardized","transpiration_g_day"
"F","CAL","2W",2020-03-04,"2",10,42,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL2W","R-","ambient",9.4688375813729,28.6667556389661,30.7853997067627,100
"F","CAL","2W",2020-03-05,"2",11,43,7.8,0.2,8,-0.2,1,-0.2,36.0169491525424,40.2542372881356,"FCAL2W","R-","ambient",9.4688375813729,26.5481115711695,30.7853997067627,200
"F","CAL","2W",2020-03-06,"2",12,44,7.8,0.6,8.4,-0.2,1,-0.2,36.0169491525424,48.7288135593221,"FCAL2W","R-","ambient",9.4688375813729,26.5481115711695,39.2599759779492,200
"F","CAL","2W",2020-03-09,"2",15,47,7.7,0.3,8,-0.7,3,-0.23,33.8983050847458,40.2542372881356,"FCAL2W","R-","ambient",9.4688375813729,24.4294675033729,30.7853997067627,230
"F","CAL","2W",2020-03-10,"2",16,48,7.8,0.2,8,-0.2,1,-0.2,36.0169491525424,40.2542372881356,"FCAL2W","R-","ambient",9.4688375813729,26.5481115711695,30.7853997067627,200
"F","CAL","2W",2020-01-27,"1",1,5,8.7,0.3,9,-0.300000000000001,3,-0.1,55.0847457627119,61.4406779661017,"FCAL2W","R-","ambient",9.4688375813729,45.615908181339,51.9718403847288,100
"F","CAL","2W",2020-01-28,"1",2,6,8.9,0.1,9,-0.0999999999999996,1,-0.1,59.3220338983051,61.4406779661017,"FCAL2W","R-","ambient",9.4688375813729,49.8531963169322,51.9718403847288,100
"F","CAL","2W",2020-01-29,"1",3,7,8.9,0.1,9,-0.0999999999999996,1,-0.1,59.3220338983051,61.4406779661017,"FCAL2W","R-","ambient",9.4688375813729,49.8531963169322,51.9718403847288,100
"F","CAL","2W",2020-01-30,"1",4,8,8.7,0.3,9,-0.300000000000001,1,-0.3,55.0847457627119,61.4406779661017,"FCAL2W","R-","ambient",9.4688375813729,45.615908181339,51.9718403847288,300
"F","CAL","2W",2020-04-01,"3",5,70,6.8,0.2,7,-0.2,4,-0.05,14.8305084745763,19.0677966101695,"FCAL2W","R-","ambient",9.4688375813729,5.36167089320338,9.5989590287966,50
"F","CAL","2W",2020-04-03,"3",7,72,6.9,0.2,7.1,-0.0999999999999996,2,-0.05,16.9491525423729,21.1864406779661,"FCAL2W","R-","ambient",9.4688375813729,7.480314961,11.7176030965932,50
"F","CAL","2W",2020-04-06,"3",10,75,6.9,0.1,7,-0.199999999999999,3,-0.07,16.9491525423729,19.0677966101695,"FCAL2W","R-","ambient",9.4688375813729,7.480314961,9.5989590287966,70
"F","CAL","2W",2020-04-08,"3",12,77,6.9,0.1,7,-0.0999999999999996,2,-0.05,16.9491525423729,19.0677966101695,"FCAL2W","R-","ambient",9.4688375813729,7.480314961,9.5989590287966,50
"F","CAL","2W",2020-04-09,"3",13,78,6.9,0.1,7,-0.0999999999999996,1,-0.1,16.9491525423729,19.0677966101695,"FCAL2W","R-","ambient",9.4688375813729,7.480314961,9.5989590287966,100
"F","CAL","2W",2020-04-10,"3",14,79,6.9,0.1,7,-0.0999999999999996,1,-0.1,16.9491525423729,19.0677966101695,"FCAL2W","R-","ambient",9.4688375813729,7.480314961,9.5989590287966,100
"F","CAL","2W",2020-04-11,"3",15,80,6.9,0,6.9,-0.0999999999999996,1,-0.1,16.9491525423729,16.9491525423729,"FCAL2W","R-","ambient",9.4688375813729,7.480314961,7.480314961,100
"F","CAL","3W",2020-02-13,"1",18,22,8.9,0.1,9,-0.0999999999999996,1,-0.1,59.3220338983051,61.4406779661017,"FCAL3W","R-","ambient",10.2061499973729,49.1158839009322,51.2345279687288,100
"F","CAL","3W",2020-02-24,"2",1,33,7.9,0.1,8,-0.4,3,-0.13,38.135593220339,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,27.9294432229661,30.0480872907627,130
"F","CAL","3W",2020-02-25,"2",2,34,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,27.9294432229661,30.0480872907627,100
"F","CAL","3W",2020-02-26,"2",3,35,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,27.9294432229661,30.0480872907627,100
"F","CAL","3W",2020-02-27,"2",4,36,7.8,0.2,8,-0.2,1,-0.2,36.0169491525424,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,25.8107991551695,30.0480872907627,200
"F","CAL","3W",2020-02-28,"2",5,37,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,27.9294432229661,30.0480872907627,100
"F","CAL","3W",2020-02-05,"1",10,14,8.8,0.2,9,-0.199999999999999,1,-0.2,57.2033898305085,61.4406779661017,"FCAL3W","R-","ambient",10.2061499973729,46.9972398331356,51.2345279687288,200
"F","CAL","3W",2020-02-06,"1",11,15,8.9,0.1,9,-0.0999999999999996,1,-0.1,59.3220338983051,61.4406779661017,"FCAL3W","R-","ambient",10.2061499973729,49.1158839009322,51.2345279687288,100
"F","CAL","3W",2020-02-07,"1",12,16,8.9,0.1,9,-0.0999999999999996,1,-0.1,59.3220338983051,61.4406779661017,"FCAL3W","R-","ambient",10.2061499973729,49.1158839009322,51.2345279687288,100
"F","CAL","3W",2020-02-09,"1",14,18,8.6,0.4,9,-0.4,2,-0.2,52.9661016949153,61.4406779661017,"FCAL3W","R-","ambient",10.2061499973729,42.7599516975424,51.2345279687288,200
"F","CAL","3W",2020-02-10,"1",15,19,8.8,0.2,9,-0.199999999999999,1,-0.2,57.2033898305085,61.4406779661017,"FCAL3W","R-","ambient",10.2061499973729,46.9972398331356,51.2345279687288,200
"F","CAL","3W",2020-02-11,"1",16,20,8.9,0.1,9,-0.0999999999999996,1,-0.1,59.3220338983051,61.4406779661017,"FCAL3W","R-","ambient",10.2061499973729,49.1158839009322,51.2345279687288,100
"F","CAL","3W",2020-02-12,"1",17,21,8.7,0.3,9,-0.300000000000001,1,-0.3,55.0847457627119,61.4406779661017,"FCAL3W","R-","ambient",10.2061499973729,44.878595765339,51.2345279687288,300
"F","CAL","3W",2020-03-11,"2",17,49,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,27.9294432229661,30.0480872907627,100
"F","CAL","3W",2020-03-12,"2",18,50,7.8,0.2,8,-0.2,1,-0.2,36.0169491525424,40.2542372881356,"FCAL3W","R-","ambient",10.2061499973729,25.8107991551695,30.0480872907627,200
