greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,length_main_root_cm,diameter_top_mainroot_mm,fresh_weight_soil_bucketplus2.12kg,fresh_weight_allpotsoil_g,estim_dryweight_allpot_g,pot_bulk_density_g/cm3,soil_freshweight_1liter,soil_dryweight_1liter,grav_swc_perc,grav_swc (g/g),bulk_density_ (g/cm3) ,vol_swc_perc,vol_swc(cm3/cm3),ysoil_bc(kpa),total_leaves_dryweight_bag,total_stem_dryweight_bag,main_roots_dryweight_bag,fine_roots_dryweight_bag,observations..a...or.2.circled.next.to.the.number.means.2.bags..M.means.brown.bag..maron...N.new.bag.larger,"normal:2.975,2x normal.white.bag:5.950g,N.white.bag.new.larger:7.051.g.M.brown.bag.large:20.546g",bag_weight_leaves,bag_weight_stem,bag_weight_mainroots,bag_weight_fineroots,leaves_biomass,stems_biomass,main_roots_biomass,fine_roots_biomass,total_aboveground_biomass,total_belowground_biomass,root_shoot_ratio
B,ACY,6W,BACY6W,10/4/20,3,14,79,elevated,R+,84,12.93,7.9,5780,5570.855,0.557,945,912,3.618421053,0.036184211,0.912,3.3,0.033,-12802.61204,12.639,73.155,22.073,10.457,,,2.975,2.975,2.975,2.975,9.664,70.18,19.098,7.482,79.844,26.58,0.332899153
B,CAL,1W,BCAL1W,11/4/20,3,15,80,elevated,R-,60,9.15,7.6,5480,4904.672,0.49,842,762,10.49868766,0.104986877,0.762,8,0.08,-679.8748702,22.854,31.108,12.076,8.7,fine roots N,,2.975,2.975,2.975,7.051,19.879,28.133,9.101,1.649,48.012,10.75,0.223902358
B,CAL,3W,BCAL3W,11/4/20,3,15,80,elevated,R-,72,8.79,7.3,5180,4794.116,0.479,851,792,7.449494949,0.074494949,0.792,5.9,0.059,-1865.51127,33.056,35.748,11.691,10.95,fine roots N,,2.975,2.975,2.975,7.051,30.081,32.773,8.716,3.899,62.854,12.615,0.200703217
B,CAL,4W,BCAL4W,11/4/20,3,15,80,elevated,R-,74,12.19,7,4880,3295.38,0.33,820,619,32.47172859,0.324717286,0.619,20.1,0.201,-32.06840542,58.921,58.27,19.258,9.918,fine roots N,,2.975,2.975,2.975,7.051,55.946,55.295,16.283,2.867,111.241,19.15,0.172148758
B,CAL,5W,BCAL5W,11/4/20,3,15,80,elevated,R-,82,8.55,7.8,5680,5393.555,0.539,854,813,5.043050431,0.050430504,0.813,4.1,0.041,-6234.387762,28.572,40.865,13.037,10.133,fine roots N,,2.975,2.975,2.975,7.051,25.597,37.89,10.062,3.082,63.487,13.144,0.207034511
B,CAL,6W,BCAL6W,11/4/20,3,15,80,elevated,R-,51,9.36,7.4,5280,4885.039,0.489,819,762,7.480314961,0.07480315,0.762,5.7,0.057,-2091.448376,29.586,37.085,12.893,13.064,,,2.975,2.975,2.975,2.975,26.611,34.11,9.918,10.089,60.721,20.007,0.329490621
B,ROF,1W,BROF1W,16/04/2020,3,20,85,elevated,R-,50,13.16,7.3,5180,4050.237,0.405,821,674,21.81008902,0.21810089,0.674,14.7,0.147,-90.47223749,56.838,50.24,15.984,14.894,main roots N,,2.975,2.975,7.051,2.975,53.863,47.265,8.933,11.919,101.128,20.852,0.20619413
B,ROF,2W,BROF2W,16/04/2020,3,20,85,elevated,R-,80,13.99,7.3,5180,4517.535,0.452,732,649,12.78890601,0.12788906,0.649,8.3,0.083,-601.7670714,46.976,40.974,15.729,8.918,main roots N,,2.975,2.975,7.051,2.975,44.001,37.999,8.678,5.943,82,14.621,0.178304878
B,ROF,3W,BROF3W,16/04/2020,3,20,85,elevated,R-,80,12.61,7.3,5180,4768.505,0.477,693,642,7.943925234,0.079439252,0.642,5.1,0.051,-3023.967797,43.544,41.6,15.14,8.519,main roots N,,2.975,2.975,7.051,2.975,40.569,38.625,8.089,5.544,79.194,13.633,0.17214688
B,LST,1W,BLST1W,13/04/2020,3,17,82,elevated,R-,32,8.32,7.7,5580,5001.223,0.5,830,752,10.37234043,0.103723404,0.752,7.8,0.078,-739.3987088,7.613,11.155,5.6695,5.596,,Check dry weight stems,2.975,2.975,2.975,2.975,4.638,8.18,2.6945,2.621,12.818,5.3155,0.414690279
